observation_id_ref,scientific_name,sex_P21,confidence_score,annotator_metadata,Crown,Crest,Nape,Chin,Bill,Gorget,Breast,Belly,Flanks,Back,Rump,Tail_coverts,Rectrices,Remiges
346484210,Archilochus colubris,Female,2,User: Jair | Session: 2026-05-22 17:20,Q12901657,Q42845936,Q115959845,Q114420553,Q123227593,Q133280730,Q133280730,Q3776737,Q42519,Q3556225,Q115959845,Q133280730,Q114420553,Q137374868
341699976,Eriocnemis luciani sapphiropygia,Male,4,User: Jair | Session: 2026-05-22 17:30,Q90809316,Q106512361,Q11677801,Q25349006,Q123227593,Q11607726,Q90809482,Q90809560,Q24574924,Q3776736,Q111851367,Q61927422,Q106622682,Q124328099
337250972,Eriocnemis luciani,Male,3,User: Jair | Session: 2026-05-22 17:39,Q61927422,Q106512361,Q3556225,Q97528669,Q123227593,Q106622682,Q90809482,Q137832049,Q24574924,Q90809316,Q111851367,Q112732567,Q106622682,Q124328099
343933239,Eriocnemis vestita,Male,4,User: Jair | Session: 2026-05-22 17:59,Q90809316,Q106512361,Q111851367,Q124328099,Q123227593,Q112732364,Q18627185,Q69914710,Q4009903,Q13424722,Q115959845,Q112732567,Q97528669,Q124328099
336322965,Eriocnemis nigrivestis,Male,4,User: Jair | Session: 2026-05-22 18:06,Q3556203,Q106512361,Q123227593,Q124328099,Q123227593,Q121715819,Q112732567,Q112732567,Q131392587,Q97528669,Q11606233,Q90809470,Q97528669,Q90809398
188705631,Brachyotum ledifolium,Unknown,1,User: Jair | Session: 2026-05-22 18:07,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361
341651843,Eriocnemis mosquera,Male,3,User: Jair | Session: 2026-05-22 18:19,Q56881339,Q106512361,Q3556225,Q2145530,Q112732567,Q3738728,Q106512361,Q25349006,Q97342321,Q89507824,Q111812647,Q109433917,Q124328099,Q106061107
300032479,Eriocnemis mirabilis,Female,4,User: Jair | Session: 2026-05-26 09:55,Q106512361,Q106512361,Q25349006,Q90313161,Q123227593,Q15141721,Q90809281,Q133280730,Q119267340,Q3776736,Q90809354,Q105996967,Q115676970,Q5120881
340803056,Eriocnemis cupreoventris,Male,3,User: Jair | Session: 2026-05-26 10:11,Q90809560,Q106512361,Q3556225,Q492192,Q123227593,Q2465494,Q18627185,Q11521542,Q137832030,Q115676970,Q115653492,Q211140,Q112732567,Q124328099
336415168,Eriocnemis derbyi,Female,2,User: Jair | Session: 2026-05-26 10:19,Q3556225,Q106512361,Q96803467,Q2285791,Q123227593,Q492192,Q3776737,Q137832049,Q119267340,Q492192,Q112732446,Q97342321,Q123227593,Q137374868
341626610,Eriocnemis glaucopoides,Female,3,User: Jair | Session: 2026-05-26 10:29,Q96803467,Q106512361,Q11607726,Q3621276,Q123227593,Q111960788,Q3776737,Q3738728,Q69914710,Q492192,Q90809316,Q57305337,Q97528669,Q137374868
326415622,Goldmania violiceps,Male,4,User: Jair | Session: 2026-05-26 10:56,Q90809330,Q112732364,Q90809560,Q25336662,Q123227593,Q90809487,Q90809441,Q90809482,Q492192,Q11606233,Q3556225,Q124328099,Q96803467,Q124328099
