"scientificName","canonicalName","key"
"Talaphorus chlorocercus (Gould, 1866)","Talaphorus chlorocercus",10918272
"Polyerata rosenbergi Boucard, 1895","Polyerata rosenbergi",10925050
"Chlorestes cyanus (Vieillot, 1818)","Chlorestes cyanus",10933139
"Chlorestes eliciae (Bourcier & Mulsant, 1846)","Chlorestes eliciae",10933955
"Saucerottia hoffmanni (Cabanis & Heine, 1860)","Saucerottia hoffmanni",10936179
"Selasphorus ellioti (Ridgway, 1878)","Selasphorus ellioti",10938063
"Nesophlox evelynae (Bourcier, 1847)","Nesophlox evelynae",10938178
"Chionomesa fimbriata (J.F.Gmelin, 1788)","Chionomesa fimbriata",10941997
"Eupherusa ridgwayi (Nelson, 1900)","Eupherusa ridgwayi",10943932
"Elliotomyia chionogaster (Tschudi, 1846)","Elliotomyia chionogaster",10949096
"Cynanthus auriceps (Gould, 1852)","Cynanthus auriceps",10951412
"Riccordia ricordii (Gervais, 1835)","Riccordia ricordii",10959786
"Chrysuronia coeruleogularis (Gould, 1851)","Chrysuronia coeruleogularis",10962601
"Chrysuronia brevirostris (R.Lesson, 1829)","Chrysuronia brevirostris",10969345
"Pampa curvipennis (Deppe, 1830)","Pampa curvipennis",10972295
"Pampa pampa (R.Lesson, 1832)","Pampa pampa",10973400
"Amazilia julie (Bourcier, 1842)","Amazilia julie",10977524
"Microchera chionura (Gould, 1851)","Microchera chionura",10979785
"Leucolia viridifrons (D.G.Elliot, 1871)","Leucolia viridifrons",10980158
"Eupetomena cirrochloris (Vieillot, 1818)","Eupetomena cirrochloris",10983172
"Chrysuronia lilliae (Stone, 1917)","Chrysuronia lilliae",10983511
"Riccordia swainsonii (R.Lesson, 1829)","Riccordia swainsonii",10986504
"Selasphorus heloisa (R.Lesson & Delattre, 1839)","Selasphorus heloisa",10996645
"Elliotomyia viridicauda (von Berlepsch, 1883)","Elliotomyia viridicauda",10997923
"Leucolia violiceps (Gould, 1859)","Leucolia violiceps",11003172
