color,colorLabel,hex
http://www.wikidata.org/entity/Q107674802,Pantone 179 C,E03C31
http://www.wikidata.org/entity/Q106940527,Pantone 200 C,BA0C2F
http://www.wikidata.org/entity/Q106940527,Pantone 200 C,BA0C2F
http://www.wikidata.org/entity/Q128034293,Pantone 2001 C,F8E59A
http://www.wikidata.org/entity/Q128034293,Pantone 2001 C,F8E59A
http://www.wikidata.org/entity/Q106926168,Pantone 2003 C,F9E267
http://www.wikidata.org/entity/Q106926168,Pantone 2003 C,F9E267
http://www.wikidata.org/entity/Q106940583,Pantone 203 C,ECB3CB
http://www.wikidata.org/entity/Q106940583,Pantone 203 C,ECB3CB
http://www.wikidata.org/entity/Q106918387,Pantone 2035 C,D6001C
http://www.wikidata.org/entity/Q106918387,Pantone 2035 C,D6001C
http://www.wikidata.org/entity/Q106925206,Pantone 2084 C,7F35B2
http://www.wikidata.org/entity/Q106925206,Pantone 2084 C,7F35B2
http://www.wikidata.org/entity/Q106940464,Pantone 2239 C,00CFB4
http://www.wikidata.org/entity/Q106940464,Pantone 2239 C,00CFB4
http://www.wikidata.org/entity/Q106918436,Pantone 2423 C,00AA13
http://www.wikidata.org/entity/Q106918436,Pantone 2423 C,00AA13
http://www.wikidata.org/entity/Q106918449,Pantone 2597 C,5C068C
http://www.wikidata.org/entity/Q106918449,Pantone 2597 C,5C068C
http://www.wikidata.org/entity/Q106620932,Pantone 268 C,582C83
http://www.wikidata.org/entity/Q106918444,Pantone 2758 C,001E62
http://www.wikidata.org/entity/Q106918444,Pantone 2758 C,001E62
http://www.wikidata.org/entity/Q110396519,Pantone 280 C,012269
http://www.wikidata.org/entity/Q110396519,Pantone 280 C,012269
http://www.wikidata.org/entity/Q97624378,Pantone 280 U,3C4981
http://www.wikidata.org/entity/Q97623821,Pantone 282 U,434967
http://www.wikidata.org/entity/Q106918440,Pantone 293 C,003DA5
http://www.wikidata.org/entity/Q106918440,Pantone 293 C,003DA5
http://www.wikidata.org/entity/Q94689768,Pantone 2935 C,0057B8
http://www.wikidata.org/entity/Q106923466,Pantone 297 C,71C5E8
http://www.wikidata.org/entity/Q106923466,Pantone 297 C,71C5E8
http://www.wikidata.org/entity/Q106622686,Pantone 310 C,6AD1E3
http://www.wikidata.org/entity/Q110396943,Pantone 421 C,B2B4B1
http://www.wikidata.org/entity/Q97624424,Pantone 432 U,676C73
http://www.wikidata.org/entity/Q114876979,Pantone 4625 U,532E1F
http://www.wikidata.org/entity/Q107311245,Pantone 485 C,DA291C
http://www.wikidata.org/entity/Q97623544,Pantone 567 U,4A635D
http://www.wikidata.org/entity/Q105036818,Pantone 712 C,FCC89B
http://www.wikidata.org/entity/Q97623594,Pantone 7406 C,FFCB05
http://www.wikidata.org/entity/Q114877009,Pantone 7406 U,F1C500
http://www.wikidata.org/entity/Q136525233,Pantone 803 C,FFE900
http://www.wikidata.org/entity/Q105036822,Pantone 812 C,FF5FA2
http://www.wikidata.org/entity/Q110397017,Pantone Blue 072 C,10059F
http://www.wikidata.org/entity/Q109591831,Pantone Reflex Blue,001489
http://www.wikidata.org/entity/Q3894699,Papaya whip,FFEFD5
http://www.wikidata.org/entity/Q11144247,Persian Indigo,32127A
http://www.wikidata.org/entity/Q5922149,Persian green,00A693
http://www.wikidata.org/entity/Q5922149,Persian green,00A693
http://www.wikidata.org/entity/Q8217074,Persimmon,EC5800
http://www.wikidata.org/entity/Q24239857,Pink,FFC0DB
http://www.wikidata.org/entity/Q103888297,Princeton orange,E87722
http://www.wikidata.org/entity/Q84237818,Rebecca purple,663399
http://www.wikidata.org/entity/Q25349006,Reseda green,587246
http://www.wikidata.org/entity/Q25349006,Reseda green,587246
http://www.wikidata.org/entity/Q25349006,Reseda green,6C7C59
http://www.wikidata.org/entity/Q25349006,Reseda green,6C7C59
http://www.wikidata.org/entity/Q3641120,Savoy blue,4B61D1
http://www.wikidata.org/entity/Q3641120,Savoy blue,4B61D1
http://www.wikidata.org/entity/Q134313514,Seymour Purple,4E2983
http://www.wikidata.org/entity/Q11502631,Shinbashi colour,59B9C6
http://www.wikidata.org/entity/Q71460159,Skagen yellow,E5B165
http://www.wikidata.org/entity/Q71460159,Skagen yellow,F2C284
http://www.wikidata.org/entity/Q126888533,Stanford Cardinal Red,8C1515
http://www.wikidata.org/entity/Q124216405,Telltale red,962F25
http://www.wikidata.org/entity/Q112732593,Tyrian purple,990024
http://www.wikidata.org/entity/Q10927920,Tǔ huángsè,E89B00
http://www.wikidata.org/entity/Q2145530,UN blue,009EDB
http://www.wikidata.org/entity/Q97106579,Vegas gold,C5B358
http://www.wikidata.org/entity/Q8047350,Yale Blue,00356B
http://www.wikidata.org/entity/Q11677801,Yellow Green No. 6,7BAB4F
http://www.wikidata.org/entity/Q11677801,Yellow Green No. 6,7BAB4F
http://www.wikidata.org/entity/Q65034853,Zima blue,5BC2E7
http://www.wikidata.org/entity/Q106510555,amphora,D88256
http://www.wikidata.org/entity/Q97377848,ancient purple,8C6589
http://www.wikidata.org/entity/Q2853007,anthracite,2B292E
http://www.wikidata.org/entity/Q19361243,antique pink,D47479
http://www.wikidata.org/entity/Q123852956,antique ruby,841B2D
http://www.wikidata.org/entity/Q2553431,army green,4B5320
http://www.wikidata.org/entity/Q3776737,ash grey,E4E5E0
http://www.wikidata.org/entity/Q2866788,asparagus,7BA05B
http://www.wikidata.org/entity/Q131618362,avocado,568203
http://www.wikidata.org/entity/Q25336659,azalea,D3305D
http://www.wikidata.org/entity/Q2294901,baby blue,89CFF0
http://www.wikidata.org/entity/Q110102807,baby powder,FEFEFA
http://www.wikidata.org/entity/Q124302386,basalt black,3E3E3E
http://www.wikidata.org/entity/Q109442450,battleship grey,848482
http://www.wikidata.org/entity/Q25402007,beige green,BEBD7F
http://www.wikidata.org/entity/Q123852873,big dip o'ruby,9C2542
http://www.wikidata.org/entity/Q2904722,bisque,FFE4C4
http://www.wikidata.org/entity/Q76011056,bister,3D2B1F
http://www.wikidata.org/entity/Q112732637,black russian,025DD2
http://www.wikidata.org/entity/Q115413850,blackish,2C2C2A
http://www.wikidata.org/entity/Q124328099,blackish-purple,291E29
http://www.wikidata.org/entity/Q90278470,blanched almond,FFEBCD
http://www.wikidata.org/entity/Q115918071,blond,FAF0BE
http://www.wikidata.org/entity/Q11660963,blue no. 24,00B2E5
http://www.wikidata.org/entity/Q121715819,blue-magenta,4B0082
http://www.wikidata.org/entity/Q114420553,bone white,F9F6EE
http://www.wikidata.org/entity/Q3556203,bottle green,006A4E
http://www.wikidata.org/entity/Q109441995,brass,B5A642
http://www.wikidata.org/entity/Q98111784,brick red,CB4154
http://www.wikidata.org/entity/Q2905897,bright cream,FEFEE2
http://www.wikidata.org/entity/Q93493270,bright orange,E76318
http://www.wikidata.org/entity/Q132858662,bright pastel pink,F6B2D7
http://www.wikidata.org/entity/Q115653670,bright ube,D19FE8
http://www.wikidata.org/entity/Q136525184,bright yellow,FFE900
http://www.wikidata.org/entity/Q60679352,brighter dark red,990000
http://www.wikidata.org/entity/Q24239813,brown special,532F15
http://www.wikidata.org/entity/Q124309091,brownish,9C6D57
http://www.wikidata.org/entity/Q90793919,burlywood,DEB887
http://www.wikidata.org/entity/Q3621276,burnt orange,CC5500
http://www.wikidata.org/entity/Q90799158,cadet blue,5F9EA0
http://www.wikidata.org/entity/Q3621275,cadmium orange,E36122
http://www.wikidata.org/entity/Q4519952,camel hair color,A08040
http://www.wikidata.org/entity/Q4009899,camouflage green,78866B
http://www.wikidata.org/entity/Q110103247,canary,FFFF99
http://www.wikidata.org/entity/Q13631176,candy apple red,FF0800
http://www.wikidata.org/entity/Q133234124,capsicum red,E40F0C
http://www.wikidata.org/entity/Q2937858,caramel,7E3300
